id,category,title,url,final_url,filename,saved_path,status,bytes,content_type,use,note,error
"REG-001","regulatory","中国人民银行公告〔2021〕第3号转载页：贷款产品明示年化利率","https://jrjg.ln.gov.cn/lnsdfjrjddlj/ywzq/jgjg/703CFB652D124AE5B7B880ADB49084CB/index.shtml","https://jrjg.ln.gov.cn/lnsdfjrjddlj/ywzq/jgjg/703CFB652D124AE5B7B880ADB49084CB/index.shtml","REG-001_PBOC_2021_Notice_3_annual_rate.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\regulatory\REG-001_PBOC_2021_Notice_3_annual_rate.html","ok","53097","text/html","年化利率明示、贷款成本包含利息及直接相关费用、IRR/单利口径","",""
"REG-002","regulatory","国家金融监督管理总局/中国人民银行：个人贷款业务明示综合融资成本规定","https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1251479&generaltype=1&itemId=861","https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1251479&generaltype=1&itemId=861","REG-002_NFRA_PBOC_personal_loan_comprehensive_cost_rule.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\regulatory\REG-002_NFRA_PBOC_personal_loan_comprehensive_cost_rule.html","ok","19559","text/html","综合融资成本明示表、息费项目、收取方式、收取主体、或有成本","",""
"REG-003","regulatory","国家金融监督管理总局/中国人民银行有关司局负责人答记者问","https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1251645&itemId=915","https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1251645&itemId=915","REG-003_NFRA_PBOC_comprehensive_cost_QA.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\regulatory\REG-003_NFRA_PBOC_comprehensive_cost_QA.html","ok","20416","text/html","正常履约各项息费按IRR折算为年化水平","",""
"REG-004","regulatory","中国货币网：贷款市场报价利率 LPR 页面","https://www.chinamoney.com.cn/chinese/lllpr/","https://www.chinamoney.com.cn/chinese/lllpr/","REG-004_ChinaMoney_LPR.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\regulatory\REG-004_ChinaMoney_LPR.html","ok","15750","text/html","LPR基准入口，民间借贷4倍LPR等阈值计算参考","",""
"REG-005","regulatory","中国银行：LPR历史数据页面","https://www.bankofchina.com/fimarkets/lilv/fd32/201310/t20131031_2591219.html","https://www.bankofchina.com/fimarkets/lilv/fd32/201310/t20131031_2591219.html","REG-005_BOC_LPR_history.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\regulatory\REG-005_BOC_LPR_history.html","ok","33120","text/html","LPR历史表补充来源，便于人工核验日期和数值","",""
"REG-006","regulatory","人民银行公众留言：IRR年化利率单利/复利计算说明","https://wzdt.pbc.gov.cn/eportal/ui?msgDataId=f031bf903655443099ee754876bc1c8b&pageId=77c3557bd521439ea5cd869f5393ba98","https://wzdt.pbc.gov.cn/eportal/ui?msgDataId=f031bf903655443099ee754876bc1c8b&pageId=77c3557bd521439ea5cd869f5393ba98","REG-006_PBOC_IRR_annualization_reply.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\regulatory\REG-006_PBOC_IRR_annualization_reply.html","ok","28778","text/html;charset=UTF-8","月IRR转单利/复利年化说明","",""
"CON-001","contracts","中国银行个人贷款系列服务合同公示页","https://www.boc.cn/pbservice/pb2/202302/t20230215_22563641.html","https://www.boc.cn/pbservice/pb2/202302/t20230215_22563641.html","CON-001_BOC_personal_loan_contracts_index.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-001_BOC_personal_loan_contracts_index.html","ok","40349","text/html","中国银行个贷合同模板入口","",""
"CON-002","contracts","中国银行个人网络贷款合同（2021年版）","https://pic.bankofchina.com/bocappd/pbservice/202302/P020230215407417607703.pdf","https://pic.bankofchina.com/bocappd/pbservice/202302/P020230215407417607703.pdf","CON-002_BOC_personal_online_loan_contract_2021.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-002_BOC_personal_online_loan_contract_2021.pdf","ok","233890","application/pdf","网络消费贷合同字段、用途限制、LPR+BP表达","",""
"CON-003","contracts","中国银行个人贷款合同（2025年版，搜索结果公开PDF）","https://pic.bankofchina.com/bocappd/pbservice/202509/P020250901361206131739.pdf","https://pic.bankofchina.com/bocappd/pbservice/202509/P020250901361206131739.pdf","CON-003_BOC_personal_loan_contract_2025.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-003_BOC_personal_loan_contract_2025.pdf","ok","191883","application/pdf","新版个贷合同、单利年化、日利率=年利率/360、还款方式","",""
"CON-004","contracts","中国银行中银E贷贷款合同（2025年版）","https://pic.bankofchina.com/bocappd/pbservice/202509/P020250926418474442000.pdf","https://pic.bankofchina.com/bocappd/pbservice/202509/P020250926418474442000.pdf","CON-004_BOC_Eloan_contract_2025.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-004_BOC_Eloan_contract_2025.pdf","ok","259664","application/pdf","中银E贷合同、等额本金/按期还息/一次性还本付息现金流规则","",""
